nombre,categoria,subcategoria,descripcion,fuente,evidencia,imagenes,instagram,twitter,facebook,tiktok,youtube,estado
Marbelle,artistas,Cantantes,"Respaldo público a la campaña; en entrevista: 'Es un tigre, todo lo que dice que va a hacer, lo hace.'",https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,marbelle.oficial,Marbelle30,Marbelle.oficial,marbelle29_oficial,https://www.youtube.com/channel/UCK59cjiNh-LjCVoqzfZopDg
Silvestre Dangond,artistas,Cantantes,"En un concierto: 'Abelardo, sigues siendo el papá, te necesitamos.'",https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,silvestredangond,SilvestreFDC,SilvestreDangond,silvestredangond,@SilvestreDangondTV
Miguel Morales,artistas,Cantantes,Respaldo público a la campaña en redes sociales.,https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,miguelmorales_lavoz,,MiguelMoralesOficial,miguelmoraleslavoz,@MiguelMorales_LaVoz
Cristina Hurtado,artistas,Presentador,"Publicó fotos con el candidato: 'Firme por la familia, por mi país. Firme por la patria.'",https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,crisshurtado,CrissHurtado,crisshurtado8,crisshurtado8,crisshurtado
Jessica Cediel,artistas,Presentador,Apareció en un video junto al candidato llamando a votar por él.,https://www.kienyke.com/entretenimiento/el-ferreo-apoyo-de-jessica-cediel-abelardo-de-la-espriella,,,jessicacedielnet,jessicacediel,JessicaCedielNet,jessicacedieloficial,@jessicacedieloficial4531
Amparo Grisales,artistas,Actores,Llamada de apoyo a la campaña: 'firmes por la patria.',https://www.infobae.com/colombia/2026/06/12/abelardo-de-la-espriella-sigue-sumando-apoyos-para-la-seleccion-del-tigre-estos-son-los-nombres-que-llegan-a-la-campana/,Copia archivada (Wayback)::https://web.archive.org/web/20260618192540/https://www.infobae.com/colombia/2026/06/12/abelardo-de-la-espriella-sigue-sumando-apoyos-para-la-seleccion-del-tigre-estos-son-los-nombres-que-llegan-a-la-campana/,,agrisales333,Amparo_Grisales,,,
Sebastián Caicedo,artistas,Actores,Replicó discursos y entrevistas del candidato en sus redes.,https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,sebastiancaicedo,SebasCaicedo_,,_sebastiancaicedo_,
Piter Albeiro,artistas,Humoristas,Respaldo público a la campaña en redes sociales.,https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,piteralbeiro,PITERALBEIRO,PiterAlbeiroOficial,piteralbeirotv,PiterAlbeiroTv
Nairo Quintana,artistas,Deportistas,"Videollamada con el candidato: 'Mi presidente, ¿cómo estás?'",https://www.infobae.com/colombia/2026/06/12/nairo-quintana-le-expreso-su-apoyo-al-candidato-presidencial-abelardo-de-la-espriella-mi-presidente-como-estas/,,img/evidencia/nairo-quintana-firme-patria.png,nairoquincoficial,NairoQuinCo,nairo.quintana,,
Teófilo Gutiérrez,artistas,Deportistas,Video con el lema 'Firmes por la patria'; el artículo señala que 'siempre mostró su apoyo' a la candidatura.,https://www.semana.com/deportes/articulo/asi-celebro-teofilo-gutierrez-el-triunfo-de-abelardo-de-la-espriella-reaccion-es-viral/202648/,Copia archivada (Wayback)::https://web.archive.org/web/20260623012914/https://www.semana.com/deportes/articulo/asi-celebro-teofilo-gutierrez-el-triunfo-de-abelardo-de-la-espriella-reaccion-es-viral/202648/,,teogutierrez_,teogol_,TeofiloG29,,
Miguel Ángel Borja,artistas,Deportistas,Conversación telefónica de apoyo con el candidato durante la campaña.,https://www.infobae.com/colombia/2026/06/12/abelardo-de-la-espriella-sigue-sumando-apoyos-para-la-seleccion-del-tigre-estos-son-los-nombres-que-llegan-a-la-campana/,Copia archivada (Wayback)::https://web.archive.org/web/20260618192540/https://www.infobae.com/colombia/2026/06/12/abelardo-de-la-espriella-sigue-sumando-apoyos-para-la-seleccion-del-tigre-estos-son-los-nombres-que-llegan-a-la-campana/,,miguelaborja23,MiguelABorja9,,,
Alejandro Falla,artistas,Deportistas,Se sumó por video a una iniciativa de la campaña con un mensaje a favor del deporte.,https://www.elpais.com.co/elecciones/alejandro-falla-se-suma-a-iniciativa-de-abelardo-de-la-espriella-y-lanza-mensaje-en-defensa-del-deporte-0817.html,Copia archivada (Wayback)::https://web.archive.org/web/20260610033257/https://www.elpais.com.co/elecciones/alejandro-falla-se-suma-a-iniciativa-de-abelardo-de-la-espriella-y-lanza-mensaje-en-defensa-del-deporte-0817.html,,alejandrofalla,AlejandroFalla,AlejandroFallaRamirez,,
Bancolombia,empresas,Financiación de la campaña,"Otorgó un crédito de $16.000 millones a la campaña de Abelardo de la Espriella para la primera vuelta, declarado ante Cuentas Claras (CNE). Es un préstamo comercial a la campaña, no un respaldo declarado de la entidad.",https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,Cuentas Claras – CNE::https://www.cnecuentasclaras.gov.co/,,bancolombia,Bancolombia,bancolombia,,,
Banco de Bogotá,empresas,Financiación de la campaña,"Otorgó un crédito de $15.000 millones a la campaña de Abelardo de la Espriella para la primera vuelta, declarado ante Cuentas Claras (CNE). Es un préstamo comercial a la campaña, no un respaldo declarado de la entidad.",https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,Cuentas Claras – CNE::https://www.cnecuentasclaras.gov.co/,,bancodebogota,BancodeBogota,BancodeBogota,,,
Banco de Occidente,empresas,Grupo Sarmiento Angulo (Grupo Aval),"Banco comercial del Grupo Aval, de Luis Carlos Sarmiento Angulo. Ese grupo financió la campaña de De la Espriella: su Banco de Bogotá le otorgó un crédito de $15.000 millones. Su dueño, Sarmiento, también es propietario del diario El Tiempo.",https://www.grupoaval.com/preguntas-frecuentes,Bancos del Grupo Aval (sitio oficial)::https://www.grupoaval.com/preguntas-frecuentes|Crédito de Banco de Bogotá a la campaña (Infobae)::https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,,,,,,,vínculo indirecto
Banco Popular,empresas,Grupo Sarmiento Angulo (Grupo Aval),"Banco comercial del Grupo Aval, de Luis Carlos Sarmiento Angulo. Ese grupo financió la campaña de De la Espriella: su Banco de Bogotá le otorgó un crédito de $15.000 millones. Su dueño, Sarmiento, también es propietario del diario El Tiempo.",https://www.grupoaval.com/preguntas-frecuentes,Bancos del Grupo Aval (sitio oficial)::https://www.grupoaval.com/preguntas-frecuentes|Crédito de Banco de Bogotá a la campaña (Infobae)::https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,,,,,,,vínculo indirecto
Banco AV Villas,empresas,Grupo Sarmiento Angulo (Grupo Aval),"Banco comercial del Grupo Aval, de Luis Carlos Sarmiento Angulo. Ese grupo financió la campaña de De la Espriella: su Banco de Bogotá le otorgó un crédito de $15.000 millones. Su dueño, Sarmiento, también es propietario del diario El Tiempo.",https://www.grupoaval.com/preguntas-frecuentes,Bancos del Grupo Aval (sitio oficial)::https://www.grupoaval.com/preguntas-frecuentes|Crédito de Banco de Bogotá a la campaña (Infobae)::https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,,,,,,,vínculo indirecto
Corficolombiana,empresas,Grupo Sarmiento Angulo (Grupo Aval),"Corporación financiera (banca de inversión e infraestructura) del Grupo Aval, de Luis Carlos Sarmiento Angulo. Ese grupo financió la campaña de De la Espriella: su Banco de Bogotá le otorgó un crédito de $15.000 millones. Su dueño, Sarmiento, también es propietario del diario El Tiempo.",https://www.grupoaval.com/preguntas-frecuentes,Bancos del Grupo Aval (sitio oficial)::https://www.grupoaval.com/preguntas-frecuentes|Crédito de Banco de Bogotá a la campaña (Infobae)::https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,,,,,,,vínculo indirecto
Porvenir,empresas,Grupo Sarmiento Angulo (Grupo Aval),"Mayor administradora privada de fondos de pensiones y cesantías de Colombia, del Grupo Aval, de Luis Carlos Sarmiento Angulo. Ese grupo financió la campaña de De la Espriella: su Banco de Bogotá le otorgó un crédito de $15.000 millones. Su dueño, Sarmiento, también es propietario del diario El Tiempo.",https://www.grupoaval.com/preguntas-frecuentes,Bancos del Grupo Aval (sitio oficial)::https://www.grupoaval.com/preguntas-frecuentes|Crédito de Banco de Bogotá a la campaña (Infobae)::https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,,,,,,,vínculo indirecto
BBVA,empresas,Financiación de la campaña,"Otorgó un crédito de $5.000 millones a la campaña de Abelardo de la Espriella para la primera vuelta, declarado ante Cuentas Claras (CNE). Es un préstamo comercial a la campaña, no un respaldo declarado de la entidad.",https://www.infobae.com/colombia/2026/06/17/asi-estan-las-cuentas-de-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-de-cara-a-la-segunda-vuelta-presidencial/,Cuentas Claras – CNE::https://www.cnecuentasclaras.gov.co/,,bbva_colombia,BBVA_Colombia,bbvaencolombia,,,
GNB Sudameris,empresas,Financiación de la campaña,"Otorgó un crédito de $17.500 millones a la campaña de Abelardo de la Espriella para la segunda vuelta, declarado ante Cuentas Claras (CNE). Es un préstamo comercial a la campaña, no un respaldo declarado de la entidad. El banco es del Grupo Gilinski (Jaime Gilinski); la familia Gilinski también es dueña de la revista Semana.",https://www.elpais.com.co/elecciones/financiacion-de-la-segunda-vuelta-presidencial-suma-27500-millones-campanas-de-de-la-espriella-y-cepeda-reportan-creditos-bancarios-1918.html,Cuentas Claras – CNE::https://www.cnecuentasclaras.gov.co/,,,,,,,
Fenalco,empresas,Gremios,"Gremio nacional de comerciantes. Anunció su apoyo oficial a la candidatura; su presidente, Jaime Alberto Cabal, afirmó que 'la democracia del país está en juego'.",https://www.noticiasrcn.com/colombia/fenalco-anuncia-su-apoyo-a-la-candidatura-de-abelardo-de-la-espriella-vamos-cuatro-anos-de-desprecio-1028367,Copia archivada (Wayback)::https://web.archive.org/web/20260624232530/https://www.noticiasrcn.com/colombia/fenalco-anuncia-su-apoyo-a-la-candidatura-de-abelardo-de-la-espriella-vamos-cuatro-anos-de-desprecio-1028367,,fenalconacional,fenalconacional,fenalconacional,fenalconacional,FenalcoNacional
Arturo Calle,empresas,Empresarios,Empresario textil. Respaldó públicamente la campaña y fue propuesto para un 'Comité de Sabios' del sector empresarial.,https://www.pulzo.com/elecciones-colombia-2026/arturo-calle-char-apoyan-campana-abelardo-espriella-PP5196670,Copia archivada (Wayback)::https://web.archive.org/web/20260611104704/https://www.pulzo.com/elecciones-colombia-2026/arturo-calle-char-apoyan-campana-abelardo-espriella-PP5196670,,arturocalleoficial,Arturo_Calle,arturocalleoficial,arturocalleoficial,ArturoCalleColombia
Olímpica,empresas,Grupo Char,"Cadena de supermercados del Grupo Char, que respaldó la campaña y reorientó al partido Cambio Radical hacia el candidato.",https://www.pulzo.com/elecciones-colombia-2026/arturo-calle-char-apoyan-campana-abelardo-espriella-PP5196670,Copia archivada (Wayback)::https://web.archive.org/web/20260611104704/https://www.pulzo.com/elecciones-colombia-2026/arturo-calle-char-apoyan-campana-abelardo-espriella-PP5196670,,supertiendasolimpica,olimpicaSA,SupertiendaOlimpica,supertiendas_olimpica,https://www.youtube.com/channel/UCkD9Zd_ih6oH-j9nz3_oDmw
Junior FC,empresas,Grupo Char,"Club de fútbol del Grupo Char, que respaldó la campaña y reorientó al partido Cambio Radical hacia el candidato.",https://www.pulzo.com/elecciones-colombia-2026/arturo-calle-char-apoyan-campana-abelardo-espriella-PP5196670,Copia archivada (Wayback)::https://web.archive.org/web/20260611104704/https://www.pulzo.com/elecciones-colombia-2026/arturo-calle-char-apoyan-campana-abelardo-espriella-PP5196670,,juniorclubsa,JuniorClubSA,JuniorClubSA,juniorclub.sa,JuniorClubSA
Samuel Azout,empresas,Empresarios,Empresario que se sumó al equipo de campaña: 'servir sin esperar nada a cambio... construir una Patria Milagro'.,https://www.semana.com/confidenciales/articulo/el-reconocido-empresario-que-se-suma-a-la-campana-presidencial-de-abelardo-de-la-espriella/202616/,,,samuelazout,samuelazout,,,
52 organizaciones sindicales,sindicatos,Coaliciones,"Coalición de 52 organizaciones sindicales y sociales que anunció su respaldo en Bogotá (sectores: petróleo, minería, banca, textil, educación, agro y servicios públicos).",https://www.portafolio.co/economia/empleo/52-organizaciones-sindicales-anuncian-respaldo-a-abelardo-de-la-espriella-496481,,,,,,,
Cambio Radical,partidos,Nacionales,Partido político. Anunció por comunicado su respaldo a la candidatura para frenar la continuidad del petrismo.,https://www.eltiempo.com/politica/elecciones-colombia-2026/elecciones-presidenciales-2026-que-partidos-apoyan-a-abelardo-de-la-espriella-y-cuales-a-ivan-cepeda-3561061,,,pcambioradical,PCambioRadical,,pcambioradical,PCambioRadical
Creemos,partidos,Nacionales,Movimiento de Federico Gutiérrez (Fico). Oficializó su respaldo a la candidatura.,https://www.eltiempo.com/politica/elecciones-colombia-2026/elecciones-presidenciales-2026-que-partidos-apoyan-a-abelardo-de-la-espriella-y-cuales-a-ivan-cepeda-3561061,,,creemosco,creemosco,creemosco,,
Salvación Nacional,partidos,Nacionales,Partido de Enrique Gómez. Respaldó la candidatura; su cabeza de lista afirmó que el país está 'entre una dictadura con Cepeda o una democracia robusta con De la Espriella'.,https://www.eltiempo.com/politica/elecciones-colombia-2026/enrique-gomez-cabeza-de-lista-de-salvacion-nacional-estamos-entre-una-dictadura-con-cepeda-o-un-estado-de-derecho-vigente-con-de-la-espriella-3519861,Copia archivada (Wayback)::https://web.archive.org/web/20260111020627/https://www.eltiempo.com/politica/elecciones-colombia-2026/enrique-gomez-cabeza-de-lista-de-salvacion-nacional-estamos-entre-una-dictadura-con-cepeda-o-un-estado-de-derecho-vigente-con-de-la-espriella-3519861,,msalvacionnacional,MovSalvacionNal,MSalvacionNacional,movsalvacionnal,
Centro Democrático,partidos,Nacionales,Partido fundado por Álvaro Uribe. Respaldó la candidatura; Uribe llamó a votar por él ('votaremos por él y pedimos que se vote por él').,https://www.eltiempo.com/politica/elecciones-colombia-2026/elecciones-presidenciales-2026-que-partidos-apoyan-a-abelardo-de-la-espriella-y-cuales-a-ivan-cepeda-3561061,,,cedemocratico,CeDemocratico,CeDemocratico,centrodemocraticoficial,CentrodemocraticoOficial
Donald Trump,lideres,Internacionales,"Presidente de Estados Unidos. En Truth Social respaldó la candidatura ('un líder inteligente, fuerte y tenaz') y prometió pleno apoyo de EE. UU. si gana.",https://www.eluniverso.com/noticias/internacional/un-lider-inteligente-fuerte-y-tenaz-donald-trump-recalca-apoyo-si-triunfa-abelardo-de-la-espriella-nota/,Copia archivada (Wayback)::https://web.archive.org/web/20260611190341/https://www.eluniverso.com/noticias/internacional/un-lider-inteligente-fuerte-y-tenaz-donald-trump-recalca-apoyo-si-triunfa-abelardo-de-la-espriella-nota/,,realDonaldTrump,realDonaldTrump,DonaldTrump,realDonaldTrump,DonaldJTrumpforPresident
Javier Milei,lideres,Internacionales,Presidente de Argentina. Respaldó la candidatura: 'las fuerzas de la libertad en la región estamos mirando y apoyando'.,https://www.ambito.com/politica/el-apoyo-javier-milei-abelardo-la-espriella-las-fuerzas-la-libertad-estamos-mirando-y-apoyando-n6289974,Copia archivada (Wayback)::https://web.archive.org/web/20260619024316/https://www.ambito.com/politica/el-apoyo-javier-milei-abelardo-la-espriella-las-fuerzas-la-libertad-estamos-mirando-y-apoyando-n6289974,,javiermilei,JMilei,JavierMileiEconomista,javiermileii,JMilei
Alberto Núñez Feijóo,lideres,Internacionales,Presidente del Partido Popular (España). Felicitó al candidato y le deseó éxito en la segunda vuelta por redes sociales.,https://www.diariodeibiza.es/nacional/2026/06/14/feijoo-abascal-apoyan-primera-vez-131380619.html,,,anunezfeijoo,NunezFeijoo,NunezFeijoo,nunezfeijoo,
Santiago Abascal,lideres,Internacionales,Presidente de Vox (España). Recibió al candidato en Madrid (enero de 2026) y comparte el respaldo a su candidatura.,https://www.diariodeibiza.es/nacional/2026/06/14/feijoo-abascal-apoyan-primera-vez-131380619.html,,,santi_abascal,Santi_ABASCAL,SantiagoAbascalConde,santiabascal_,
VOX,partidos,Internacionales,"Partido político español liderado por Santiago Abascal, que comparte el respaldo a la candidatura.",https://www.diariodeibiza.es/nacional/2026/06/14/feijoo-abascal-apoyan-primera-vez-131380619.html,,,vox_es,vox_es,VOXEspana,vox_espana,vox_espana
Laura Tobón,artistas,Presentador,Mencionada por la prensa entre los famosos que respaldan la candidatura; comentó '🐯🐯 con Dios' en una publicación de campaña.,https://www.colombia.com/entretenimiento/noticias/que-famosos-apoyan-a-ivan-cepeda-y-abelardo-de-la-espriella-en-segunda-vuelta-586248,Copia archivada (Wayback)::https://web.archive.org/web/20260610083447/https://www.colombia.com/entretenimiento/noticias/que-famosos-apoyan-a-ivan-cepeda-y-abelardo-de-la-espriella-en-segunda-vuelta-586248,,laura_tobon,lauratobonyepes,Lauratobonyepes,laura_tobon,
Josse Narváez,artistas,Presentador,Mencionado por la prensa entre los famosos que respaldan la candidatura.,https://www.colombia.com/entretenimiento/noticias/que-famosos-apoyan-a-ivan-cepeda-y-abelardo-de-la-espriella-en-segunda-vuelta-586248,Copia archivada (Wayback)::https://web.archive.org/web/20260610083447/https://www.colombia.com/entretenimiento/noticias/que-famosos-apoyan-a-ivan-cepeda-y-abelardo-de-la-espriella-en-segunda-vuelta-586248,,jossenarvaezm,jossenarvaez,jossenarvaez,jossenarvaezm,
Paula Andrea Betancur,artistas,Actores,Mencionada por la prensa entre los famosos que respaldan la candidatura.,https://www.colombia.com/entretenimiento/noticias/que-famosos-apoyan-a-ivan-cepeda-y-abelardo-de-la-espriella-en-segunda-vuelta-586248,Copia archivada (Wayback)::https://web.archive.org/web/20260610083447/https://www.colombia.com/entretenimiento/noticias/que-famosos-apoyan-a-ivan-cepeda-y-abelardo-de-la-espriella-en-segunda-vuelta-586248,,paulaandreabetancur,PaulaAndreaB_,PaulaAndreaBetancurA,paulaandreaw_,
María Elvira Ramírez,artistas,Influencers,Influencer. Comentó apoyando la candidatura: 'Firme porque en 4 años yo quiero poder volver a salir a votar'.,https://www.instagram.com/mariaelvirar_/,,img/evidencia/maria-elvira-ramirez.webp,mariaelvirar_,,,mariaelvirar,
Kim de Sutter,artistas,Influencers,Creadora de contenido. Recompartió contenido de la campaña ('Pasamos a segunda vuelta') y comentó 'FIRMES' en una publicación del candidato.,https://www.instagram.com/kimdesutter/,Copia archivada (Wayback)::https://web.archive.org/web/20190415151211/https://www.instagram.com/kimdesutter/,img/evidencia/kim-de-sutter.webp,kimdesutter,kimdesutterg,,kimdesutter,@KimDeSutterBeautyAndStyle
Isabella Cortes,artistas,Influencers,Influencer. Comentó '🐯🇨🇴🇨🇴' (el tigre es el símbolo de la campaña) en una publicación del candidato.,https://www.instagram.com/isabellacortes_b/,,img/evidencia/isabella-cortes.png,isabellacortes_b,,,isabellacortes_b,
Sara Uribe,artistas,Presentador,"Modelo y presentadora. En una publicación usó el lema de campaña 'vamos firmes' junto al tigre, símbolo de la candidatura.",https://www.instagram.com/sara_uribe/,Copia archivada (Wayback)::https://web.archive.org/web/20221003011119/https://www.instagram.com/sara_uribe/,img/evidencia/sara-uribe.webp,sara_uribe,SaraUribeTV,SaraUribeCadavid,sarauribetv,
Caterine Ibargüen,artistas,Deportistas,"Medallista olímpica. Recompartió una historia de Ernesto Lucena (figura deportiva de la campaña) con el mensaje 'el deporte en el centro del gobierno' y el tigre, símbolo de la candidatura.",https://www.instagram.com/triplecibarguen/,,img/evidencia/caterine-ibarguen.png,triplecibarguen,tripleCIbarguen,tripleCIbarguen,caterineibarguen,
Alejandro Méndez,artistas,Influencers,Chef y creador de contenido. Comentó en una publicación de campaña: 'Usted merece ser presidente en un futuro'.,https://www.instagram.com/alejomendezchef/,,img/evidencia/alejandro-mendez.webp,alejomendezchef,,https://www.facebook.com/p/Alejo-Mendez-chef-61568552835632,alejomendezchef,
Ana del Castillo,artistas,Cantantes,Cantante vallenata. Cantó en el cierre de campaña del candidato en Barranquilla y expresó su apoyo ('firme por la patria').,https://www.youtube.com/watch?v=N-CdiaMJdK0,,img/evidencia/ana-del-castillo.webp,anadelcastilloj,anadelcastilloj,anaofthecastle,anadelcastilloj,@AnaDelCastillo_
Sofía (lasofiavm),artistas,Influencers,Influencer ('fofii'). Etiquetó una celebración de la campaña ('hoy la fiesta es aquí @delaespriella_style') y recompartió contenido de la campaña.,https://www.instagram.com/lasofiavm/,,img/evidencia/sofia-lasofiavm.webp,lasofiavm,,,lasofiavm,
La Barbie Colombiana,artistas,Influencers,Influencer y cantante (Tatiana Murillo). Publicó una historia con el carro de campaña ('Abelardo Presidente') celebrando su triunfo.,https://www.instagram.com/labarbiecolombianaoficial/,,img/evidencia/la-barbie-colombiana.webp,labarbiecolombianaoficial,,,tatianamurillobarbie,
Aithana,artistas,Influencers,Creadora de contenido. Publicó una foto con el lema 'Firmes' y prendas de la campaña (gorra del tigre y buzo 'Firme por la patria').,https://www.tiktok.com/@aithanadelgallego,,img/evidencia/aithana.webp,aithanadelgallego,aithanadgg,,aithanadelgallego,
Katherine Porto,artistas,Actores,Actriz. Publicó una historia con la garra del tigre (símbolo de la campaña) y el mensaje 'el futuro... es de quienes construyen'.,https://www.instagram.com/katherineporto_/,,img/evidencia/katherine-porto.webp,katherineporto_,katherineporto,,katherineportom,
Pipe Bueno,artistas,Cantantes,Cantante de música popular. Apareció en un video de respaldo de artistas del género: 'como ciudadanos colombianos... firmes por la patria'.,https://www.infobae.com/colombia/2026/06/19/artistas-de-musica-popular-incluida-la-esposa-de-yeison-jimenez-fueron-blanco-de-criticas-por-su-apoyo-a-abelardo-de-la-espriella/,Copia archivada (Wayback)::https://web.archive.org/web/20260621192948/https://www.infobae.com/colombia/2026/06/19/artistas-de-musica-popular-incluida-la-esposa-de-yeison-jimenez-fueron-blanco-de-criticas-por-su-apoyo-a-abelardo-de-la-espriella/,,pipebueno,pipebueno,pipebuenofans,pipebueno97,@pipebuenoMUSIC
